Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
North-Eastern Region,Arunachal Pradesh,Papum Pare,2018,Q1,7649,27.28636665,93.6187716
North-Eastern Region,Arunachal Pradesh,West Kameng,2018,Q1,2202,27.4,92.35
North-Eastern Region,Arunachal Pradesh,East Siang,2018,Q1,1803,28.3,95.15
North-Eastern Region,Arunachal Pradesh,Tawang,2018,Q1,1525,27.5879186,91.863733
North-Eastern Region,Arunachal Pradesh,Changlang,2018,Q1,1208,27.1398402,95.7382485
North-Eastern Region,Arunachal Pradesh,Lohit,2018,Q1,1207,27.8239052,95.861898
North-Eastern Region,Arunachal Pradesh,West Siang,2018,Q1,846,28.4,94.55
North-Eastern Region,Arunachal Pradesh,Namsai,2018,Q1,737,27.71403055,96.01597094
North-Eastern Region,Arunachal Pradesh,Lower Dibang Valley,2018,Q1,601,28.21495625,95.87877404
North-Eastern Region,Arunachal Pradesh,Upper Subansiri,2018,Q1,572,28.3,94.0
North-Eastern Region,Arunachal Pradesh,Papum Pare,2018,Q2,11418,27.28636665,93.6187716
North-Eastern Region,Arunachal Pradesh,West Kameng,2018,Q2,3442,27.4,92.35
North-Eastern Region,Arunachal Pradesh,East Siang,2018,Q2,2646,28.3,95.15
North-Eastern Region,Arunachal Pradesh,Tawang,2018,Q2,2266,27.5879186,91.863733
North-Eastern Region,Arunachal Pradesh,Changlang,2018,Q2,2014,27.1398402,95.7382485
North-Eastern Region,Arunachal Pradesh,Lohit,2018,Q2,1898,27.8239052,95.861898
North-Eastern Region,Arunachal Pradesh,Namsai,2018,Q2,1276,27.71403055,96.01597094
North-Eastern Region,Arunachal Pradesh,West Siang,2018,Q2,1224,28.4,94.55
North-Eastern Region,Arunachal Pradesh,Lower Dibang Valley,2018,Q2,893,28.21495625,95.87877404
North-Eastern Region,Arunachal Pradesh,Upper Subansiri,2018,Q2,883,28.3,94.0
North-Eastern Region,Arunachal Pradesh,Papum Pare,2018,Q3,16009,27.28636665,93.6187716
North-Eastern Region,Arunachal Pradesh,West Kameng,2018,Q3,4765,27.4,92.35
North-Eastern Region,Arunachal Pradesh,East Siang,2018,Q3,3590,28.3,95.15
