Region,State,District,Year,Quarter,Total_transaction_count,Total_transaction_amount,Latitude,Longitude
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q2,54390299,114439012713.35336,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2021,Q2,36370960,90021923049.96454,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2021,Q2,34344902,73654690122.43158,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2021,Q2,32968819,82356914463.83287,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2021,Q2,31717908,74604325863.66068,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Nellore,2021,Q2,30290406,72283071757.09679,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2021,Q2,25123346,60987487571.27992,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q2,21972396,56659287474.995804,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q2,20950964,57233116236.18796,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Prakasam,2021,Q2,19944047,54535328043.04135,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q3,69220981,136945652159.26517,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2021,Q3,44828275,104417897558.58972,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2021,Q3,42628568,89371931753.04831,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2021,Q3,41675093,96525353090.12305,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2021,Q3,39572714,89380370072.7078,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Nellore,2021,Q3,34411958,77839676988.30869,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2021,Q3,30366444,70291248155.64975,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q3,26377809,62527453761.59807,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q3,26245039,66647238455.1675,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Prakasam,2021,Q3,24116580,63367713446.928055,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q4,82711538,159530099772.73474,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2021,Q4,55489829,125015323207.89836,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2021,Q4,51119640,103985734663.73514,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2021,Q4,50919286,115553993673.17336,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2021,Q4,48992531,106725597026.00357,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Nellore,2021,Q4,41921081,92256405076.26547,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2021,Q4,36129136,81239787006.64764,14.6546235,77.55625984
Southern Region,Andhra Pradesh,West Godavari,2021,Q4,33235175,81292461575.08183,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Kurnool,2021,Q4,31782248,73968947669.64754,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Prakasam,2021,Q4,27858275,71323060008.47623,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q1,88233362,170120350591.26004,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2022,Q1,61826199,139690081529.49048,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2022,Q1,58561024,117900595508.63399,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2022,Q1,57226996,129673727687.08943,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2022,Q1,54738830,121067103712.79568,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Nellore,2022,Q1,47645702,104895571602.13988,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2022,Q1,40613148,90197023268.43825,14.6546235,77.55625984
Southern Region,Andhra Pradesh,West Godavari,2022,Q1,37271259,92397939903.60936,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Kurnool,2022,Q1,35093633,81568420500.54747,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Prakasam,2022,Q1,31340975,79494373254.71565,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q2,101387402,193242841582.14282,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2022,Q2,73525814,163997729295.93127,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2022,Q2,67507661,136435445124.75615,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2022,Q2,66315749,147098141568.76227,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2022,Q2,62072845,135531452997.6391,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Nellore,2022,Q2,54838708,121941082043.49483,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Anantapur,2022,Q2,46099366,102138758015.76915,14.6546235,77.55625984
Southern Region,Andhra Pradesh,West Godavari,2022,Q2,44409239,107973244960.42824,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Kurnool,2022,Q2,40165692,92409350855.502,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Prakasam,2022,Q2,36163507,90435082545.97768,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q3,97434546,181124419863.61444,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2022,Q3,71051144,153770559025.69122,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2022,Q3,65751781,133053581631.63948,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2022,Q3,65612317,141588522953.23773,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2022,Q3,61467134,129677722169.74829,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Anantapur,2022,Q3,45165363,97735649608.10074,14.6546235,77.55625984
Southern Region,Andhra Pradesh,West Godavari,2022,Q3,43635951,101706854744.31876,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2022,Q3,42116582,95099325968.25974,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Kurnool,2022,Q3,39557913,88415335176.31995,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Prakasam,2022,Q3,35376080,87475230073.46387,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2022,Q4,103790055,185306149744.73105,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2022,Q4,76526667,157826011193.35443,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2022,Q4,70723763,146938735166.52365,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2022,Q4,70322534,136840859888.18156,13.1601048,79.15555062
