Region,State,Pincode,Year,Quarter,Registered_user
Southern Region,Andhra Pradesh,524002,2022,Q1,151939
Southern Region,Andhra Pradesh,530026,2022,Q1,145842
Southern Region,Andhra Pradesh,520010,2022,Q1,143308
Southern Region,Andhra Pradesh,517501,2022,Q2,256290
Southern Region,Andhra Pradesh,517507,2022,Q2,229983
Southern Region,Andhra Pradesh,515001,2022,Q2,200266
Southern Region,Andhra Pradesh,530016,2022,Q2,194513
Southern Region,Andhra Pradesh,518002,2022,Q2,189505
Southern Region,Andhra Pradesh,516001,2022,Q2,188295
Southern Region,Andhra Pradesh,516360,2022,Q2,170855
Southern Region,Andhra Pradesh,524002,2022,Q2,159834
Southern Region,Andhra Pradesh,530026,2022,Q2,153586
Southern Region,Andhra Pradesh,520010,2022,Q2,150546
Southern Region,Andhra Pradesh,517501,2022,Q3,269370
Southern Region,Andhra Pradesh,517507,2022,Q3,241720
Southern Region,Andhra Pradesh,515001,2022,Q3,210661
Southern Region,Andhra Pradesh,530016,2022,Q3,204230
Southern Region,Andhra Pradesh,518002,2022,Q3,199354
Southern Region,Andhra Pradesh,516001,2022,Q3,197910
Southern Region,Andhra Pradesh,516360,2022,Q3,179806
Southern Region,Andhra Pradesh,524002,2022,Q3,168015
Southern Region,Andhra Pradesh,530026,2022,Q3,161715
Southern Region,Andhra Pradesh,520010,2022,Q3,158071
Southern Region,Andhra Pradesh,517501,2022,Q4,282766
Southern Region,Andhra Pradesh,517507,2022,Q4,253314
Southern Region,Andhra Pradesh,515001,2022,Q4,221328
Southern Region,Andhra Pradesh,530016,2022,Q4,214155
Southern Region,Andhra Pradesh,518002,2022,Q4,209376
Southern Region,Andhra Pradesh,516001,2022,Q4,207725
Southern Region,Andhra Pradesh,516360,2022,Q4,188768
Southern Region,Andhra Pradesh,524002,2022,Q4,176415
Southern Region,Andhra Pradesh,530026,2022,Q4,169957
Southern Region,Andhra Pradesh,520010,2022,Q4,165734
North-Eastern Region,Arunachal Pradesh,791110,2018,Q1,2316
North-Eastern Region,Arunachal Pradesh,791111,2018,Q1,2203
North-Eastern Region,Arunachal Pradesh,791113,2018,Q1,1475
North-Eastern Region,Arunachal Pradesh,791102,2018,Q1,1471
North-Eastern Region,Arunachal Pradesh,790104,2018,Q1,1139
North-Eastern Region,Arunachal Pradesh,791001,2018,Q1,969
North-Eastern Region,Arunachal Pradesh,791109,2018,Q1,857
North-Eastern Region,Arunachal Pradesh,792103,2018,Q1,829
North-Eastern Region,Arunachal Pradesh,792001,2018,Q1,828
North-Eastern Region,Arunachal Pradesh,790116,2018,Q1,766
North-Eastern Region,Arunachal Pradesh,791110,2018,Q2,3488
North-Eastern Region,Arunachal Pradesh,791111,2018,Q2,3272
North-Eastern Region,Arunachal Pradesh,791113,2018,Q2,2219
North-Eastern Region,Arunachal Pradesh,791102,2018,Q2,2212
North-Eastern Region,Arunachal Pradesh,790104,2018,Q2,1698
North-Eastern Region,Arunachal Pradesh,792103,2018,Q2,1457
North-Eastern Region,Arunachal Pradesh,791001,2018,Q2,1421
North-Eastern Region,Arunachal Pradesh,792001,2018,Q2,1315
North-Eastern Region,Arunachal Pradesh,791109,2018,Q2,1231
North-Eastern Region,Arunachal Pradesh,790116,2018,Q2,1213
North-Eastern Region,Arunachal Pradesh,791110,2018,Q3,4872
North-Eastern Region,Arunachal Pradesh,791111,2018,Q3,4610
North-Eastern Region,Arunachal Pradesh,791113,2018,Q3,3178
North-Eastern Region,Arunachal Pradesh,791102,2018,Q3,3077
North-Eastern Region,Arunachal Pradesh,790104,2018,Q3,2328
North-Eastern Region,Arunachal Pradesh,792103,2018,Q3,2067
North-Eastern Region,Arunachal Pradesh,791001,2018,Q3,1907
North-Eastern Region,Arunachal Pradesh,792001,2018,Q3,1819
North-Eastern Region,Arunachal Pradesh,790116,2018,Q3,1623
North-Eastern Region,Arunachal Pradesh,791109,2018,Q3,1612
North-Eastern Region,Arunachal Pradesh,791110,2018,Q4,6599
