Region,State,Pincode,Year,Quarter,Total_transaction_count,Total_transaction_amount
Southern Region,Andhra Pradesh,518501,2018,Q1,68193,81006512.71677604
Southern Region,Andhra Pradesh,517501,2018,Q2,165506,305629373.15863353
Southern Region,Andhra Pradesh,518502,2018,Q2,140893,127814123.87394845
Southern Region,Andhra Pradesh,515001,2018,Q2,129798,285924993.6163615
Southern Region,Andhra Pradesh,517507,2018,Q2,127731,243405277.90481398
Southern Region,Andhra Pradesh,520001,2018,Q2,123176,271911611.0495833
Southern Region,Andhra Pradesh,516001,2018,Q2,114806,242175477.6115077
Southern Region,Andhra Pradesh,530016,2018,Q2,111874,235770318.03054443
Southern Region,Andhra Pradesh,520010,2018,Q2,100630,220730389.6490364
Southern Region,Andhra Pradesh,516360,2018,Q2,96619,197068813.60447282
Southern Region,Andhra Pradesh,518501,2018,Q2,93442,163942778.22947574
Southern Region,Andhra Pradesh,518502,2018,Q3,1300146,709765829.9649723
Southern Region,Andhra Pradesh,533437,2018,Q3,421968,240766495.05853492
Southern Region,Andhra Pradesh,518501,2018,Q3,296154,291247918.8462258
Southern Region,Andhra Pradesh,517501,2018,Q3,295403,466133618.6014985
Southern Region,Andhra Pradesh,515001,2018,Q3,276595,438158383.2247275
Southern Region,Andhra Pradesh,530016,2018,Q3,234494,380410223.19526947
Southern Region,Andhra Pradesh,517507,2018,Q3,233347,386563858.6898683
Southern Region,Andhra Pradesh,516259,2018,Q3,220165,109844218.671292
Southern Region,Andhra Pradesh,520011,2018,Q3,213275,291805923.00111276
Southern Region,Andhra Pradesh,520001,2018,Q3,206435,371140000.30740225
Southern Region,Andhra Pradesh,518502,2018,Q4,441662,332201263.2829269
Southern Region,Andhra Pradesh,517501,2018,Q4,423357,714887920.0334857
Southern Region,Andhra Pradesh,530016,2018,Q4,367619,575982481.3389585
Southern Region,Andhra Pradesh,515001,2018,Q4,355695,651952970.9302757
Southern Region,Andhra Pradesh,517507,2018,Q4,318300,594747982.0458119
Southern Region,Andhra Pradesh,530003,2018,Q4,277131,356075793.85855436
Southern Region,Andhra Pradesh,516001,2018,Q4,269798,572252390.1920383
Southern Region,Andhra Pradesh,520010,2018,Q4,250261,492229977.1570112
Southern Region,Andhra Pradesh,530017,2018,Q4,248725,326891428.60271376
Southern Region,Andhra Pradesh,518501,2018,Q4,248520,357423401.5571966
Southern Region,Andhra Pradesh,530001,2019,Q1,950821,1529039457.6419592
Southern Region,Andhra Pradesh,517501,2019,Q1,922416,1244725311.4573965
Southern Region,Andhra Pradesh,520001,2019,Q1,814616,1462807205.627422
Southern Region,Andhra Pradesh,530016,2019,Q1,684611,960022481.5524917
Southern Region,Andhra Pradesh,517507,2019,Q1,671661,1009128524.8128469
Southern Region,Andhra Pradesh,515001,2019,Q1,609682,1009938283.8464416
Southern Region,Andhra Pradesh,518502,2019,Q1,545426,389782596.9665674
Southern Region,Andhra Pradesh,530003,2019,Q1,527667,590799502.8850918
Southern Region,Andhra Pradesh,530017,2019,Q1,472914,531596255.9349663
Southern Region,Andhra Pradesh,520010,2019,Q1,460133,774931063.0289192
Southern Region,Andhra Pradesh,530001,2019,Q2,2602865,5218795715.70141
Southern Region,Andhra Pradesh,520001,2019,Q2,1828617,3823390190.0922346
Southern Region,Andhra Pradesh,517501,2019,Q2,949187,1669949938.5076957
Southern Region,Andhra Pradesh,522001,2019,Q2,839909,1759418775.980979
Southern Region,Andhra Pradesh,530016,2019,Q2,793798,1257915825.5688605
Southern Region,Andhra Pradesh,517507,2019,Q2,760335,1412863012.2407691
Southern Region,Andhra Pradesh,515001,2019,Q2,567306,1282118916.2094193
Southern Region,Andhra Pradesh,530003,2019,Q2,520142,718170914.395836
Southern Region,Andhra Pradesh,520010,2019,Q2,490697,973983824.5472903
Southern Region,Andhra Pradesh,530017,2019,Q2,480905,650710126.3382195
Southern Region,Andhra Pradesh,530001,2019,Q3,2944756,6693257653.901131
Southern Region,Andhra Pradesh,520001,2019,Q3,1905190,4414503365.699517
Southern Region,Andhra Pradesh,517501,2019,Q3,1434209,2203932856.2972074
Southern Region,Andhra Pradesh,530016,2019,Q3,1196020,1658162548.562835
Southern Region,Andhra Pradesh,517507,2019,Q3,1060513,1854927351.7366562
Southern Region,Andhra Pradesh,522001,2019,Q3,1003916,2216532548.7258
Southern Region,Andhra Pradesh,515001,2019,Q3,868052,1667826831.8650486
Southern Region,Andhra Pradesh,530003,2019,Q3,858005,970993081.1712441
Southern Region,Andhra Pradesh,530017,2019,Q3,799271,911939243.0618924
Southern Region,Andhra Pradesh,530026,2019,Q3,711726,1095056835.9858122
Southern Region,Andhra Pradesh,530001,2019,Q4,4185063,9160387223.4497
Southern Region,Andhra Pradesh,520001,2019,Q4,2544877,5933007156.535349
Southern Region,Andhra Pradesh,517501,2019,Q4,1920211,3073084029.9256625
Southern Region,Andhra Pradesh,530016,2019,Q4,1591033,2295184224.145106
Southern Region,Andhra Pradesh,530026,2019,Q4,1438154,2509394595.5414515
Southern Region,Andhra Pradesh,517507,2019,Q4,1406768,2478459132.7705936
Southern Region,Andhra Pradesh,522001,2019,Q4,1324202,2927313967.683236
Southern Region,Andhra Pradesh,515001,2019,Q4,1202983,2376869516.684207
Southern Region,Andhra Pradesh,530003,2019,Q4,1131832,1339103327.887921
Southern Region,Andhra Pradesh,530017,2019,Q4,1084796,1266927471.3317952
Southern Region,Andhra Pradesh,530026,2020,Q1,6695271,15258657486.862274
Southern Region,Andhra Pradesh,517501,2020,Q1,2196548,3731404465.729061
Southern Region,Andhra Pradesh,530016,2020,Q1,1661816,2593325339.0472875
Southern Region,Andhra Pradesh,517507,2020,Q1,1554974,2719620696.0325623
Southern Region,Andhra Pradesh,515001,2020,Q1,1346804,2696427930.6755033
Southern Region,Andhra Pradesh,530003,2020,Q1,1159480,1519955258.5314608
Southern Region,Andhra Pradesh,524002,2020,Q1,1125194,2653339803.95633
